PEL.BUTTON.VALIDER;Valider
PEL.BUTTON.SE_CONNECTER;Se connecter

PEL.INSCRIPTION.NOM;Nom
PEL.INSCRIPTION.PRENOM;Prénom
PEL.INSCRIPTION.NICKNAME;Nom d'utilisateur
PEL.INSCRIPTION.EMAIL;Adresse email
PEL.INSCRIPTION.EMAIL_VERIFICATION;Vérification adresse email
PEL.INSCRIPTION.MAIL.MAUVAIS_FORMAT;L'adresse email n'est pas au bon format
PEL.INSCRIPTION.MDP;Mot de passe
PEL.INSCRIPTION.MDP_VERIFICATION;Vérification mot de passe
PEL.INSCRIPTION.CAPTCHA;Veuillez saisir...
PEL.INSCRIPTION.ERREUR_CAPTCHA;Erreur lors de la saisie du code ci-dessous <br>
PEL.INSCRIPTION.CATPCHA_SECURITE;Sécurité
PEL.INSCRIPTION.MAIL.DEJA_EXISTANT;Email déjà existant
PEL.INSCRIPTION.MAIL.DISPONIBLE;Email disponible
PEL.INSCRIPTION.NICKNAME.ERREUR;Ce nom d'utilisateur est déjà pris. Merci d'en saisir un autre.
PEL.INSCRIPTION.NICKNAME.ERREUR_2;Un nom d'utilisateur ne doit être compris entre 3 et 50 caractères.
PEL.INSCRIPTION.NICKNAME.ERREUR_3;Un nom d'utilisateur ne doit pas comporter d'accent, d'espace ou de caractères spéciaux.
PEL.INSCRIPTION.NICKNAME.DISPONIBLE;Nom d'utilisateur disponible
PEL.INSCRIPTION.NICKNAME.INDISPONIBLE;Nom d'utilisateur indisponible
PEL.INSCRIPTION.LASTNAME.ERREUR;Un nom ne doit être composé que de lettres. Le tiret est accepté.
PEL.INSCRIPTION.LASTNAME.ERREUR_2;Un nom ne doit être compris entre 2 et 50 caractère
PEL.INSCRIPTION.LASTNAME.ERREUR_3;Un nom ne doit pas comporter d'accent, d'espace ou de caractères spéciaux
PEL.INSCRIPTION.FIRSTNAME.ERREUR;Un prénom ne doit être composé que de lettres. Le tiret est accepté.
PEL.INSCRIPTION.FIRSTNAME.ERREUR_2;Un prénom ne doit être compris entre 2 et 50 caractère
PEL.INSCRIPTION.FIRSTNAME.ERREUR_3;Un prénom ne doit pas comporter d'accent, d'espace ou de caractères spéciaux
PEL.INSCRIPTION.LASTNAME.VALIDE;nom valide
PEL.INSCRIPTION.FIRSTNAME.VALIDE;prénom valide
PEL.INSCRIPTION.VERIF_EMAIL_OK;adresses identiques
PEL.INSCRIPTION.VERIF_EMAIL_NOK;Les deux adresses ne sont pas identiques
PEL.INSCRIPTION.VERIF_MPD_OK;mdp identiques
PEL.INSCRIPTION.VERIF_MPD_NOK;Les deux mdp ne sont pas identiques
PEL.INSCRIPTION.MDP.ERREUR;erreur
PEL.INSCRIPTION.MDP.ERREUR_2;Votre mot de passe doit contenir entre 6 et 12 caractères 
PEL.INSCRIPTION.MDP.ERREUR_3;Votre mot de passe  ne doit pas comporter d'accent, d'espace ou de caractères spéciaux.
PEL.INSCRIPTION.MDP.DISPONIBLE;mot de passe correct
PEL.INSCRIPTION.MAIL_CONFIRMATION_ENVOI;Un mail de confirmation vient de vous être envoyé. Veuillez cliquer sur le lien qui se trouve dans le mail afin de finaliser votre inscription.
PEL.LOGIN.LIBELLE_EMAIL;Email
PEL.LOGIN.LIBELLE_MDP;Mot de passe
PEL.LOGIN.LIBELLE_IDENTIFIANT;Identifiant
PEL.LOGIN.LIBELLE_COMPLEMENT_IDENTIFIANT;Nom d'utilisateur ou email
PEL.LOGIN.ERREUR;le couple email/mdp n'est pas bon
PEL.LOGIN.SUCCES;vous êtes connecté! bravo........
PEL.LOGIN.DEJA_CONNECTE;Vous êtes connecté.. liens eventuels...
PEL.LOGIN.SE_CONNECTER;Veuillez vous connecter en rentrant votre email/mdp
PEL.LOGIN.MDP_OUBLIE;Mot de passe oublié
PEL.MDP_OUBLIE.ERREUR;Merci de saisir votre nom d'utilisateur ou votre mot de passe utilisé pour l'inscription
PEL.MDP_OUBLIE.ERREUR_2;Ce Champ doit être compris entre 2 et 50 caractères
PEL.MDP_OUBLIE.ERREUR_3;L'email que vous avez spécifié n'a pas été reconnu, veuillez resaissir de nouvelles valeurs
PEL.MDP_OUBLIE.ENVOI_SUCCES;Votre mot de passe vient de vous être envoyé sur votre adresse email.
PEL.MDP_OUBLIE.ENVOI_ERROR;Un problème est survenu, veuillez recommencer l'opération
PEL.MDP.FORGOT_PASSWORD.SEND.SUBJECT;Mot de passe oublié
PEL.MDP.SEND.HTML;Voici votre mot de passe :
PEL.MDP.SEND.TXT;Voici votre mot de passe : 
PEL.INSCRIPTION.MAIL_CONFIRM_1;Merci de votre inscription sur....Pour valider, veuillez cliquez sur le lien suivant
PEL.INSCRIPTION.MAIL_CONFIRM_2;Merci, ... l'équipe de .....
PEL.INSCRIPTION.MAIL_CONFIRM.SUBJECT;confirmation inscription
PEL.INSCRIPTION.MAIL_CONFIRMATION_ENVOI.PAS_MAIL_ASSOCIE;Nous n'avons pas trouvé de compte avec ce mail
PEL.INSCRIPTION.MAIL_CONFIRMATION_ENVOI.PROBLEME_MAIL;Il y a eu un problème avec l'envoie mail
PEL.INSCRIPTION.CONFIRMATION;Confirmation de votre inscription
PEL.INSCRIPTION.CONFIRMATION_ERREUR1;Votre confirmation d'inscription a dèjà été validé
PEL.INSCRIPTION.CONFIRMATION_ERREUR2;Ce compte n'existe pas
PEL.PASSWORD.ERROR;Les paramètres passés ne correspondent pas à un compte existant 
PEL.PASSWORD.ERROR_2;Vous n'êtes pas autorisé à consulter cette page.
PEL.PASSWORD.ERROR_3;Votre mot de passe n'a pas pu être changé.
PEL.PASSWORD.SUCCES;Votre mot de passe vient d'être changé.
PEL.PASSWORD.LABEL_PWD;Mot de passe
PEL.PASSWORD.LABEL_VERIF_PWD;vérification mot de passe
PEL.PASSORD.LEVEL_LABEL;niveau de sécurité :
PEL.PASSORD.LEVEL_SECU_1;faible
PEL.PASSORD.LEVEL_SECU_2;moyen
PEL.PASSORD.LEVEL_SECU_3;fort
