"Cl&eacute; de traduction",Traduction
ADDRESS_LINE_1,"Address (line 1)"
ADDRESS_LINE_2,"Address (line 2)"
ADD_AGAIN,"Add again"
ADD_TO_BASKET,"Add to basket"
ADD_TO_COMPARISON,"Add to comparison"
ADD_TO_QUICKLINKS,"Add to quicklinks"
ALL,All
ALL_FEATURES,"All features"
Analytics,Analytics
ANNOUNCEMENTS,Announcements
"Application mobile","Mobile app"
AREAS_OF_INTEREST,"Areas of Interest"
Authentification,Login
AWARD_TAB,Awards
Back,Back
"Backend access","Backend access"
BackgroundColor,"Background color"
BackgroundImage,"Background image"
BACKOFFICE,Backoffice
BACK_TO_LIST,"Back to list"
Banner,Banner
BANNER_SAMPLE,"New technologies"
BROWSE,Browse
BROWSE_PRODUCTS,"Browse products"
BUSINESS_PROFILE,"Business profile"
Carousel,Carousel
CATEGORIES,Categories
CERTIFICATE,Certificate
CHANGE_MAIL_CONFIRMATION,"An email has been sent with a link to confirm the change."
CHANGE_MAIL_ERROR_PWD_TEXT,"Password invalid"
CHANGE_MAIL_ERROR_TOKEN,"CHANGE_MAIL_ERROR_TOKEN - to be translated"
CHANGE_MAIL_LABEL,"Change email"
CHANGE_MAIL_MAIL_SUBJECT,"User mail change"
CHANGE_MAIL_MAIL_TEXT,"<p>Please click on the below link to confirm your email change</p>
<p>##URL##</p>"
CHANGE_MAIL_TEXT_PRESENTATION,"Please enter your password to confirm your new email"
CHANGE_VIEW,"Change view"
CHOOSE_ALL,"Select all"
CHOOSE_LOGITECH_DISTRIBUTOR,"CHOOSE_LOGITECH_DISTRIBUTOR - N/A"
CHOOSE_SITE,"Choose a ite"
CITY,City
CIVILITY,Title
CLOSE,Close
COMPANY,Company
COMPANY_ERROR,"Please select your country"
CONTACT,Contact
CONTACT_SUBJECT,Subject
"Content types","Content types"
COUNTRY,Country
Createur,Creator
Créateur(s),Creator(s)
CREATE_COMPARISON,"Create comparison"
"Créer un contenu de type : ","Create a content : "
CUSTOMER_DEPOSITS,"CUSTOMER_DEPOSITS - N/A"
CUSTOMER_NUMBER,"CUSTOMER_NUMBER - N/A"
"dans la Recherche","in search engine"
DATE,Date
DAVID,"Test david FO"
DELIVERY_ADDRESS,"Delivery details"
DELIVERY_TIME,"DELIVERY_TIME - N/A"
DEMO_SITE,"Demo site"
DESIRED_END_DATE,"DESIRED_END_DATE - N/A"
DISTRIBUTOR_ACTEBIS_PEACOK_GMBH,"DISTRIBUTOR_ACTEBIS_PEACOK_GMBH - N/A"
DISTRIBUTOR_API_COMPUTERHANDELS_GMBH,"DISTRIBUTOR_API_COMPUTERHANDELS_GMBH - N/A"
DISTRIBUTOR_B_COM_COMPUTER_AG,"DISTRIBUTOR_B_COM_COMPUTER_AG - N/A"
DISTRIBUTOR_INGRAM_MICRO_DISTRIBUTION_GMBH,"DISTRIBUTOR_INGRAM_MICRO_DISTRIBUTION_GMBH - N/A"
DNS,DNS
DOES_YOUR_COMPANY_HAVE_AN_E_TAIL_SITE,"Does your company have an e-tail site?"
DOES_YOUR_COMPANY_HAVE_A_RETAIL_STORE,"Does your company have a retail store?"
DON_T_KNOW,"Don't know"
Dossiers,Folders
DOWNLOAD,Download
DO_YOU_HAVE_AN_ACCOUNT_MANAGER_AT_LOGITECH,"Do you have an account manager at Logitech?"
"Droits etendus","Extended rights"
EDIT_MY_NEWS,"Edit my news"
EDIT_MY_QUICKLINKS,"Edit my Quicklinks"
EMAIL,Email
EMAIL_ERROR,"Please enter your email address"
EMAIL_FOR_LOGIN,"E-Mail (for login)"
EMAIL_SUBSCRIBER_REJECTED,"<p>Unfortunately, your new Logitech Partner Exchange account has not been approved for the following reason:</p>
<p>##REASON##.</p>
<p>For further information, please send an email to ##MAIL##.</p>
<p>Best regards,<br />Logitech Europe SA</p>"
EMAIL_SUBSCRIBER_REMOVED,"<p>Unfortunately, your new Logitech Partner Exchange account has been blocked.</p>
<p>If you have any questions, please just send an email to <a href=""mailto:zs@logitech.com"">partner.uk@logitech.com</a>.</p>
<p>Best regards,<br />Logitech Europe SA</p>"
EMAIL_SUBSCRIBER_VALIDATED,"<p>Your new Logitech Partner Exchange account has been validated. This means that you now have access to the full site content.</p>
<p>If you have any questions, please just send an email to <a href=""mailto:partner.eu@logitech.com"">partner.uk@logitech.com</a>.</p>
<p>Best regards,<br />Logitech Partner Exchange</p>"
EMBARGO_PLD_LEGEND,"Coming soon"
ENQUIRY_FORM_BLOC_A_LABEL,"ENQUIRY_FORM_BLOC_A_LABEL - N/A"
ENQUIRY_FORM_BLOC_B_LABEL,"ENQUIRY_FORM_BLOC_B_LABEL - N/A"
ENQUIRY_FORM_BLOC_C_LABEL,"ENQUIRY_FORM_BLOC_C_LABEL - N/A"
ENQUIRY_FORM_BLOC_D_LABEL,"ENQUIRY_FORM_BLOC_D_LABEL - N/A"
ENQUIRY_FORM_BLOC_E_LABEL,"ENQUIRY_FORM_BLOC_E_LABEL - N/A"
ENQUIRY_FORM_BLOC_F_LABEL,"ENQUIRY_FORM_BLOC_F_LABEL - N/A"
