DATE_FORMAT_PHP;m/d/Y
DATE_HEURE_FORMAT_PHP;"d/m/Y H:i:s"
DATE_FORMAT_DB;MM/DD/YYYY
DATE_FORMAT_LABEL;MM/DD/YYYY
DATE_FORMAT_LABEL_EDITION;"MM/JJ/AAAA, AAAA/MM ou AAAA"
HOUR_FORMAT_LABEL;hh:mm
UTILISATEUR;User
SITE;Site
ADD;add
DEL;del
EDIT;ed
FORM_BUTTON_COPY;Clone
TABLE_FILTER_ALL;All
TABLE_PAGE_PREV;prev.
TABLE_PAGE_NEXT;next
TABLE_NO_RECORD;"No record"
TABLE_RECORDS;records
TABLE_FORMAT_HOUR;h.
TABLE_FORMAT_DAY;d.
FORM_BUTTON_ADD;Add
FORM_BUTTON_DELETE;Delete
FORM_BUTTON_EDIT;Edit
FORM_BUTTON_PREVIEW;Preview
FORM_BUTTON_SAVE;Save
FORM_BUTTON_BACK;"Go back"
FORM_MAP_ADD;"Modify the ImageMap"
FORM_BUTTON_ADD_VALUE;"Add a value"
FORM_BUTTON_ADD_MULTI;"Add a"
FORM_BUTTON_COLOR;"Background color"
FORM_BUTTON_EDITOR;"Launch the online editor"
FORM_BUTTON_FILE_DELETE;Delete
FORM_BUTTON_FILE_SELECT;"Select a file"
FORM_BUTTON_FILE_VIEW;"Preview the file"
FORM_BUTTON_IMG_SELECT;"Select an image"
FORM_BUTTON_IMG_TITLE;Preview
FORM_BUTTON_LINK_SELECT;"Select a link"
FORM_BUTTON_SEARCH;Search
FORM_FILL;"Please fill"
FORM_LABEL;Label
FORM_MSG_CONFIRM_DEL;"Do you confirm this deletion ?"
FORM_MSG_ERROR_HIERARCHY_PAGE_LANG;"You need to save parent page in this language first."
FORM_MSG_DATE;"a valid date (MM/DD/YYYY)"
FORM_MSG_DATE_EDITION;"a valid editorial date (MM/JJ/AAAA, AAAA/MM ou AAAA)"
FORM_MSG_HEURE;"a valid hour (hh:mn))"
FORM_MSG_LIMIT_1;"You cannot type more than"
FORM_MSG_LIMIT_2;"characters for"
FORM_MSG_LIST_AVAILABLE;"Available values"
FORM_MSG_LIST_SELECTED;"Selected values"
FORM_MSG_MAIL;"a valid email address"
FORM_MSG_NUMBER;"an integer value"
FORM_MSG_REAL;"a numeric value"
FORM_MSG_TELEPHONE;"a valid phone number"
FORM_MSG_URL;"a valid internet address (http://... or https://...)"
FORM_MSG_ALPHANUM;"a text with only letters and numbers"
FORM_MSG_VALUE_CHOOSE;"Please choose a value for"
FORM_MSG_VALUE_CONTENT;"Please type a content for"
FORM_MSG_VALUE_FILE;"Please choose a file for"
FORM_MSG_VALUE_REQUIRE;"Please type a value for"
FORM_MSG_WITH;with
FORM_MSG_YEAR;"a year with 4 numbers"
FORM_MSG_YES;yes
FORM_SELECT_CHOOSE;-> Choose
EDITOR_ANCHOR;Anchor
EDITOR_BOLD;Bold
EDITOR_BRING_ABOVE_TEXT;"Bring above text"
EDITOR_BRING_FORWARD;"Bring forward"
EDITOR_BRING_TO_FRONT;"Bring to front"
EDITOR_CHARMAP;"Special car."
EDITOR_CLEAN;"Clean the Pelican_Html code"
EDITOR_COPY;Copy
EDITOR_CUT;Cut
EDITOR_DELETECELLS;"Delete cells"
EDITOR_DELETECOLS;"Delete columns"
EDITOR_DELETEROWS;"Delete rows"
EDITOR_DETAILS;"Show details"
EDITOR_DOCUMENT;"Attach a file"
EDITOR_FLASH;"Insert a flash tag"
EDITOR_FONTNAME;"Font name"
EDITOR_FONTSIZE;"Font size"
EDITOR_HELP;Help
EDITOR_HR;"Horizontal line"
DECMD_PAGEBREAK;"Page break"
EDITOR_HTML;"HTML code"
EDITOR_IMAGE;"Insert an image tag"
EDITOR_IMAGE_PROPERTY;"Edit image properties"
EDITOR_INDENT;Indent
EDITOR_INSERTCELL;"Insert a cell"
EDITOR_INSERTCOL;"Insert a column"
EDITOR_INSERTROW;"Insert a row"
EDITOR_INSERTTABLE;"Insert a table"
EDITOR_INTERNAL;"Internal link"
EDITOR_ITALIC;Italic
EDITOR_JUSTIFYCENTER;"Justify center"
EDITOR_JUSTIFYLEFT;"Justify left"
