CLE;TRADUCTION
ADD_TO_MY_SELECTION;"Ajouter à ma sélection"
A_PARTIR;"À partir de"
BONJOUR;Bonjour
CHANGE_COLOR;"Changez la couleur"
CHOISISSEZ_VOTRE_LANGUE;"CHOISISSEZ VOTRE LANGUE"
FERMER;Fermer
FUSEAU;Hourshulssen
IMPORT___EXPORT;"Import / export"
POUVONS_NOUS_VOUS_AIDER;"Pouvons nous vous aider?"
PSA_INTEGRATION;INTEGRATION
PSA_PREPROD;PREPRODUCTION
PSA_PROD;PRODUCTION
PSA_RECETTE;RECETTE
QUE_RECHERCHEZ_VOUS;"Que recherchez vous?"
RESULTS_GSA;"Résultat trouvé pour"
STATISTIQUES;Statistiques
SUIVRE;Follow
SUR_TWITTER;"On twitter"
VOIR_VERSION_MOBILE_SITE;"Voir la version mobile du site"
VOTRE_EMAIL;"Votre email"
