CLE;TRADUCTION
(HOME);"(page d'accueil)"
(Root);(Racine)
"...New page";"...Nouvelle rubrique"
"1 level";"1 niveau"
1_VISUEL_CINEMASCOPE;"1 visuel cinémascope"
"2 levels";"2 niveaux"
2_VISUELS_16_9_EMPILES__1_VISUEL_PORTRAIT;"2 visuels 16/9 empilés + 1 visuel portrait"
2_VISUELS_FORMATS_PORTRAITS;"2 visuels portraits"
2_VISUELS_FORMAT_CARRE;"2 visuels carré"
2_VISUEL_16_9;"2 visuel 16/9"
3_VISUEL_CARRES;"3 visuels carré"
4X4;ABCDEFGHIJKLMNOPQRSTUVWXY27ABCDEFGHIJKLMNOPQRSTUVWXY54ABCDEFGHIJKLMNOPQRSTUVWXY81ABCDEFGHIJKLMNOPQRSTUVWX108ABCDEFGHIJKLMNOPQRSTUVWX135ABCDEFGHIJKLMNOPQRSTUVWX162ABCDEFGHIJKLMNOPQRSTUVWX189ABCDEFGHIJKLMNOPQRSTUVWX216ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789D255
"80 letters alert";"Rappel : le texte concerne par ce lien ne doit pas exceder 80 caracteres"
ABONNEMENT_NEWSLETTER;"Abonnement newsletter"
ABONNES;Abonnes
ABO_NEWSLETTER;"ABONNEMENT NEWSLETTER"
ABO_RSS;"ABONNEMENT RSS"
"Accesibility key";"Touche d'acc."
ACCESS_FAVORITES;"Accéder à mes favoris"
ACCES_BACK_OFFICE;"Acces Back Office"
Accroche;Accroche
ACL;Actualites
ACTIF;Actif
"Action description";"Description de l'action"
"Action name";"Nom de l'action"
"Activate WebService";"Activer ce WebService"
"Activation date";"Actif a partir du"
ACTIVATION_AUTOCOMPLETION;"Activation autocompletion"
ACTIVATION_CHAMP_RECHERCHE;"Activation recherche"
ACTIVATION_CHAMP_RECHERCHE_;"Activation de la recherche"
ACTIVATION_PRIX_CREDITS;"Activation des prix à crédits"
ACTIVER;Activer
ACTIVER_MOBILE;Mobile
ACTIVER_WEB_TABLETTE;"Web / tablette"
ACTIVER_WEB_TABLETTE_MOBILE;"Web / tablette et mobile"
ACTUALITE;Actualité
ADD;aj
Address;Adresse
ADDRESS_LINE_1;"Adresse (ligne 1)"
ADDRESS_LINE_2;"Adresse (ligne 2)"
ADD_AGAIN;"Ajouter a nouveau"
ADD_ENCADRE;"Add box"
ADD_FAVORITE;"Ajouter à mes favoris"
ADD_FINITION_COMPARATEUR;"Ajouter cette finition au comparateur"
ADD_FORM_COL;"Ajouter une colonne"
ADD_FORM_CTA;"Ajouter un CTA"
ADD_FORM_GALLERY;"Ajouter une gallerie"
ADD_LIEN;Lien
ADD_LIST_PICTO_TEXT;"Ajouter une ligne de picto"
ADD_OTHER_CARS;"Autres Véhicules"
ADD_REDIRECTION_301;"Voulez-vous ajouter l’ancienne url dans le champ « Redirection (code 301) » ?"
ADD_SLIDESHOW;"Ajouter un slideshow"
ADD_TERME;"Ajouter un terme"
ADD_TO_BASKET;"Ajouter au panier"
ADD_TO_COMPARISON;"Ajouter a la comparaison"
ADD_TO_MY_SELECTION;"Ajouter à ma sélection"
ADD_TO_QUICKLINKS;"Ajouter aux liens rapides"
"Admin reserved";"Page reservee aux gestionnaires"
ADMINISTRATION;Administration
AFFICHAGE;Affichage
AFFICHAGE_MOB;"Affichage mobile"
AFFICHAGE_WEB;"Affichage web"
AFFICHAGE_WEB_MOBILE;"Affichage Web / mobile"
AFFICHER;Afficher
AFFICHER_ASSISTANCE_TELEPHONIQUE;"Afficher ""Assistance téléphonique"""
AFFICHER_AUTRES_SITES;"Afficher ""Autres sites"""
AFFICHER_BESOIN_AIDE;"Afficher ""Besoin d'aide"""
AFFICHER_ZONE_ABONNEMENT;"Afficher ""Zone d'abonnement"""
Aj.;Aj.
"Ajax zone";Ajax
Ajout;Ajout
ALERT_CNT_TITLE_LONG_MAX;"Votre titre de contenu est trop long, il est conseillé de ne pas dépasser les 70 caractères pour un titre."
ALERT_CTA_MODE_OPEN_LINK;"Veuillez remplir le mode d'ouverture du lien"
ALERT_CTA_MULTI_SLIDESHOW;"Vous devez sélectionner une Couleur Cta"
ALERT_CTA_TITLE;"Veuillez remplir le libellé du lien "
ALERT_CTA_URL;"Veuillez remplir le l'URL du lien"
ALERT_DECACHE_ECHEC;"Echec de la génération des fichiers de langue."
ALERT_DECACHE_SUCCES;"Génération des fichiers de langue réussi !"
ALERT_IMPORT_ECHEC;"Echec de l'import."
ALERT_IMPORT_SUCCES;"Import réussi !"
ALERT_LANGUE_SITE;"Attention au changement de langue"
ALERT_MSG_OUTILS_MAX;"Il n'est pas possible de saisir plus de 7 outils."
ALERT_MSG_OUTILS_MOBILE_MAX;"Vous avez atteint la limite de #nb# outils mobile maximum"
ALERT_MSG_OUTILS_MOBILE_MIN;"Vous devez sélectionner au moins #nb# outils Mobile"
ALERT_MSG_OUTILS_WEB_MAX;"Vous avez atteint la limite de #nb# outils web maximum"
ALERT_MSG_OUTILS_WEB_MIN;"Vous devez sélectionner au moins #nb# outils Web"
ALERT_NUMERIC_NB_DVN;"La valeur du Nombre de DVN doit être numérique"
ALERT_NUMERIC_NB_PDV;"La valeur du Nombre de PDV doit être numérique"
ALERT_NUMERIC_RAYON;"La valeur du rayon doit être numérique"
ALERT_PAGE_TITLE_LONG_MAX;"Votre titre de rubrique est trop long, il est conseillé de ne pas dépasser les 70 caractères pour un titre."
ALERT_SEUIL_PRIX_1;"Vous devez saisir un entier pour le seuil prix comptant 1."
ALERT_SEUIL_PRIX_2;"Vous devez saisir un entier pour le seuil prix comptant 2."
ALERT_SEUIL_PRIX_3;"Vous devez saisir un entier pour le seuil prix comptant 3."
ALERT_TIMING_SLIDESHOW;"Le minimum doit être de 5"
ALERT_TYPO_MULTI_SLIDESHOW;"Vous devez sélectionner une Couleur Typo"
Alias;Alias
ALL;Tout
ALLEMAND;Allemand
ALLER_PLUS_LOIN;"Allez plus loin avec Citroën C3"
ALL_FEATURES;"Toutes les fonctionnalites"
ALONE_LAYOUT;"Gabarit unique"
ALTERNATIVE;Alternative
ALTERNATIVE_FLASH;"Alertnative Flash"
ALTERNATIVE_IMAGE;"Alternative visuel"
ALTERNATIVE_TEXT;"Alternative textuelle"
"An e-mail request for publication will be sent.";"Un email de publication va être envoyé."
Analytics;Analytique
"And on";"Et le"
ANGLAIS;Anglais
ANNOUNCEMENTS;Annonces
Answer;Reponse
"Apart from French";"(en plus du fran"
"Application mobile";"Application mobile"
ARBORESCENCE;Arborescence
"Arborescence cible";"Arborescence cible"
"Arborescence source";"Arborescence source"
ARBORESCENCE_OBLIGATOIRE;"Veuillez sélectionner votre arborescence"
ARBORESCENCE_SOURCE;"Arborescence source"
ARBORESCENCE_UNIQUE;"Veuillez sélectionner une page"
AREAS_OF_INTEREST;"Domaines d'inter"
ASK_REPLACE_FAV_PDV;"Souhaitez-vous remplacer<br /> Nom de la concession<br />"
ASSISTANCE;Assistance
ASSOCIATED_CONTENT_ORDER;"Ordre des contenus associes"
